MONTH,DAY,DAY_OF_WEEK,AIRLINE,DEPARTURE_DELAY,DISTANCE,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,flight_depart_delayed,AIR_SYSTEM_DELAY_pct,SECURITY_DELAY_pct,AIRLINE_DELAY_pct,LATE_AIRCRAFT_DELAY_pct,WEATHER_DELAY_pct,time_of_day,main_delay
4,8,3,WN,-2.0,325,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Late Night (0-5am),AIR_SYSTEM_DELAY
7,25,6,WN,-4.0,719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
10,7,3,DL,-2.0,2586,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
11,29,7,EV,1.0,331,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
10,2,5,AA,15.0,861,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
10,2,5,AA,-4.0,1205,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
4,11,6,EV,-1.0,89,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
5,3,7,DL,-9.0,1399,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
9,14,1,B6,-3.0,273,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
11,18,3,DL,1.0,404,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
9,23,3,WN,-5.0,417,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
1,13,2,DL,-1.0,760,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
1,28,3,UA,6.0,2007,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
4,24,5,WN,67.0,417,12.0,0.0,12.0,55.0,0.0,1,17.91,0.0,17.91,82.09,0.0,Evening (6pm-9pm),LATE_AIRCRAFT_DELAY
8,8,6,WN,41.0,337,0.0,0.0,0.0,38.0,0.0,1,0.0,0.0,0.0,92.68,0.0,Afternoon (12pm-5pm),LATE_AIRCRAFT_DELAY
11,9,1,UA,-8.0,2402,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
9,24,4,OO,39.0,265,0.0,0.0,0.0,32.0,0.0,1,0.0,0.0,0.0,82.05,0.0,Afternoon (12pm-5pm),LATE_AIRCRAFT_DELAY
5,25,1,UA,2.0,1208,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
12,26,6,AA,219.0,802,211.0,0.0,43.0,176.0,0.0,1,96.35,0.0,19.63,80.37,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
5,22,5,AA,5.0,926,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
9,9,3,DL,-2.0,689,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
8,21,5,OO,83.0,109,7.0,0.0,24.0,59.0,0.0,1,8.43,0.0,28.92,71.08,0.0,Morning (6-11am),LATE_AIRCRAFT_DELAY
11,1,7,EV,-6.0,544,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
5,28,4,HA,2.0,102,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
5,23,6,AA,-9.0,919,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
2,20,5,F9,25.0,853,8.0,0.0,25.0,0.0,0.0,1,32.0,0.0,100.0,0.0,0.0,Afternoon (12pm-5pm),AIRLINE_DELAY
9,3,4,EV,-11.0,323,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
7,27,1,B6,-2.0,937,21.0,0.0,0.0,0.0,0.0,0,-1050.0,-0.0,-0.0,-0.0,-0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
11,15,7,UA,-4.0,372,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
11,10,2,EV,19.0,456,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
3,7,6,WN,-5.0,997,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
5,4,1,MQ,-10.0,888,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
7,8,3,DL,-6.0,1127,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
5,6,3,EV,-1.0,147,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
3,16,1,OO,-4.0,391,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
12,14,1,AA,-2.0,1773,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
3,23,1,UA,146.0,2288,0.0,0.0,17.0,108.0,0.0,1,0.0,0.0,11.64,73.97,0.0,Afternoon (12pm-5pm),LATE_AIRCRAFT_DELAY
8,20,4,DL,53.0,689,54.0,0.0,0.0,0.0,0.0,1,101.89,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
8,18,2,DL,20.0,907,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,Night (10pm-11pm),AIR_SYSTEM_DELAY
9,29,2,MQ,-7.0,396,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2,1,7,AA,-5.0,192,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
1,9,5,EV,25.0,632,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
11,12,4,DL,28.0,2248,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
2,3,2,DL,7.0,1282,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
5,27,3,WN,95.0,725,0.0,0.0,80.0,5.0,0.0,1,0.0,0.0,84.21,5.26,0.0,Evening (6pm-9pm),AIRLINE_DELAY
1,31,6,AS,-1.0,834,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
12,30,3,VX,-7.0,2586,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Night (10pm-11pm),AIR_SYSTEM_DELAY
9,30,3,DL,-2.0,516,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Night (10pm-11pm),AIR_SYSTEM_DELAY
11,10,2,F9,-3.0,1546,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
3,23,1,DL,-6.0,393,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
6,1,1,HA,-8.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
4,24,5,OO,109.0,316,0.0,0.0,44.0,57.0,0.0,1,0.0,0.0,40.37,52.29,0.0,Afternoon (12pm-5pm),LATE_AIRCRAFT_DELAY
3,2,1,EV,-7.0,284,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
10,28,3,DL,-4.0,341,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
3,17,2,US,-7.0,328,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
4,29,3,EV,43.0,925,0.0,0.0,0.0,43.0,0.0,1,0.0,0.0,0.0,100.0,0.0,Morning (6-11am),LATE_AIRCRAFT_DELAY
3,26,4,WN,-4.0,362,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
11,25,3,AA,-6.0,1262,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
8,16,7,AA,-4.0,1242,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
5,26,2,WN,114.0,289,0.0,0.0,13.0,86.0,0.0,1,0.0,0.0,11.4,75.44,0.0,Evening (6pm-9pm),LATE_AIRCRAFT_DELAY
11,12,4,B6,-4.0,68,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
9,29,2,EV,-3.0,302,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
1,21,3,US,2.0,651,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
3,14,6,DL,-5.0,223,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
6,30,2,UA,28.0,888,0.0,0.0,15.0,1.0,0.0,1,0.0,0.0,53.57,3.57,0.0,Afternoon (12pm-5pm),AIRLINE_DELAY
4,4,6,US,-2.0,361,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
7,12,7,WN,1.0,973,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
8,18,2,DL,-14.0,501,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
3,17,2,EV,-6.0,912,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
6,22,1,WN,-3.0,338,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
11,21,6,MQ,-2.0,773,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
