YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,DEPARTURE_DELAY,DISTANCE,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,flight_depart_delayed,AIR_SYSTEM_DELAY_pct,SECURITY_DELAY_pct,AIRLINE_DELAY_pct,LATE_AIRCRAFT_DELAY_pct,WEATHER_DELAY_pct,time_of_day,main_delay
2015,4,26,7,AA,-4.0,1143,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
2015,11,18,3,MQ,113.0,510,0.0,0.0,0.0,72.0,16.0,1,0.0,0.0,0.0,63.72,14.16,Afternoon (12pm-5pm),LATE_AIRCRAFT_DELAY
2015,10,9,5,WN,1.0,272,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
2015,2,10,2,WN,12.0,670,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
2015,3,26,4,WN,-5.0,1072,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
2015,6,10,3,MQ,-3.0,431,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
2015,8,5,3,DL,0.0,1426,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2015,6,28,7,WN,0.0,345,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Evening (6pm-9pm),AIR_SYSTEM_DELAY
2015,3,4,3,WN,-2.0,601,19.0,0.0,0.0,0.0,0.0,0,-950.0,-0.0,-0.0,-0.0,-0.0,Morning (6-11am),AIR_SYSTEM_DELAY
2015,6,26,5,WN,0.0,601,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2015,9,16,3,DL,-9.0,859,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2015,3,6,5,WN,12.0,423,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2015,5,11,1,AA,-2.0,1258,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2015,3,20,5,OO,-2.0,387,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2015,11,20,5,DL,3.0,591,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2015,2,17,2,MQ,63.0,137,11.0,0.0,3.0,60.0,0.0,1,17.46,0.0,4.76,95.24,0.0,Evening (6pm-9pm),LATE_AIRCRAFT_DELAY
2015,4,19,7,WN,-9.0,1235,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
2015,5,29,5,NK,-7.0,1303,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Morning (6-11am),AIR_SYSTEM_DELAY
2015,10,3,6,UA,-2.0,1874,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Afternoon (12pm-5pm),AIR_SYSTEM_DELAY
